Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
1/23/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
1/24/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/24/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/24/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/24/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/25/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/26/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/26/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/26/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
1/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/27/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
1/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/27/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/27/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SNOWSHOE
1/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/28/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/28/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,RUSSIAN BLUE
1/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
1/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
1/29/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
1/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/29/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
1/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH
1/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH
1/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/30/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
1/30/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
1/31/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
1/31/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
1/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
2/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
2/1/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
2/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
