Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/23/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
8/22/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/19/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/19/13,PERS PROP,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/19/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/19/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/19/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/18/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/17/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/17/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/16/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
