Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
5/25/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/25/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/25/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
5/25/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/25/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/25/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/25/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/24/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/24/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/24/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/23/13,PERS PROP,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/22/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/22/13,STRAY,ALIVE,CAT,LONGHAIR,MAINE COON
5/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/22/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/22/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/22/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/22/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
5/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/22/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
5/21/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
5/21/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/21/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/21/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
5/21/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
5/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
