Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
11/10/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
11/10/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
11/10/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
11/10/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
11/10/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/10/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/10/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/10/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,POS OWNER,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/9/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/9/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
11/9/13,OWNER SUR,ALIVE,CAT,LONGHAIR,MAINE COON
11/9/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
11/9/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,POS OWNER,ALIVE,CAT,SHORTHAIR,SIAMESE
11/8/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
11/8/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/8/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/8/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
11/7/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/7/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
11/7/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/7/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/7/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/6/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/6/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
11/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/5/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/4/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,ALIVE,CAT,SHORTHAIR,ABYSSINIAN
11/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
11/3/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
11/3/13,POS OWNER,ALIVE,CAT,SHORTHAIR,EUROPEAN SH
11/2/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
11/2/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
11/2/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
11/2/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
